Timestamp,ductstaticpressure,ductstaticpressuresetpoint,supplyfanspeed,supplyfanstatus,VAV107/dischargeairtemperature,VAV104/dischargeairtemperaturesetpoint,VAV116/heatingsignal,VAV105/damperposition
2018-07-31T00:00:05,1.113784564,0.929230762,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:01:05,1.119169188,0.920153809,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:02:05,1.124553812,0.910153818,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:03:05,1.127784562,0.900153828,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:04:05,1.128246081,0.890153837,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:05:05,1.126861465,0.881999981,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:06:05,1.124553752,0.874769223,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:07:05,1.120092225,0.869384599,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:08:05,1.120553744,0.867076886,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:09:05,1.121015263,0.86569227,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:10:05,1.120553744,0.862030756,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:11:05,1.119169128,0.858492267,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:12:05,1.118707609,0.856184554,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:13:05,1.119169128,0.854199958,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:14:05,1.117446077,0.853015316,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:15:05,1.107446086,0.8516307,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:16:05,1.097446096,0.851169181,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:17:05,1.087446105,0.856553805,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:18:05,1.078539324,0.863784564,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:19:05,1.068539333,0.869169188,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:20:05,1.059402239,0.874553812,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:21:05,1.052465332,0.877784562,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:22:05,1.047667098,0.878246081,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:23:05,1.043330681,0.876861465,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:24:05,1.039702189,0.874553752,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:25:05,1.035166216,0.870092225,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:26:05,1.029722762,0.870553744,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:27:05,1.025479567,0.871015263,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:28:05,1.022159648,0.870553744,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:29:05,1.018839967,0.869169128,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:30:05,1.015612793,0.868707609,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:31:05,1.012308908,0.869169128,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:32:05,1.0091591,0.867446077,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:33:05,1.008640301,0.857446086,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:34:05,1.009321761,0.847446096,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:35:05,1.012157273,0.837446105,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:36:05,1.013177645,0.828539324,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:37:05,1.011090529,0.818539333,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:38:05,1.008957458,0.809402239,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:39:05,1.005024624,0.802465332,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:40:05,1.000168991,0.797667098,40,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:41:05,0.990698171,0.793330681,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:42:05,0.98069818,0.789702189,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:43:05,0.97069819,0.785166216,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:44:05,0.962827992,0.779722762,39.55,1,27.56640625,37.56640625,31.96640625,100
2018-07-31T00:45:05,0.956158054,0.775479567,39.55,1,27.56640625,37.56640625,31.96640625,100
